Decision Category,Ford's Strategic Choice,Implementation Details,Performance Impact
STRUCTURAL DECISIONS - Facilities,,"41 manufacturing/assembly plants globally; 375+ total operations facilities; selective specialization by business unit; joint ventures for geographic access","Geographic diversification reduces tariff/political risk; plant specialization enables operational efficiency; JVs reduce capital requirements"
Facilities: Specialization,"Ford Blue (ICE), Ford Model e (EV), Ford Pro (Commercial) with dedicated facilities/lines","F-150/Mustang (Blue), F-150 Lightning/Mach-E (Model e), Super Duty/Transit (Pro); separate production lines reduce changeover costs","Allows business unit independence; reduces platform/technology conflicts; enables scaling strategies by segment"
Facilities: Geographic,"North America (dominant); Mexico/Canada USMCA; Europe; China; Turkey; Vietnam; Australia; Brazil; India","Mexico production for North American market (tariff/labor optimization); China/Vietnam for Asia-Pacific; Europe for European market","Regional manufacturing reduces logistics costs; USMCA compliance improves competitive positioning; global footprint enables market access"
Facilities: Ownership,"Own ~all U.S. manufacturing; lease ~66% distribution centers; own ~80% testing/prototype space","Ownership provides control and flexibility; leasing reduces capital commitment for distribution (inventory flexibility)","U.S. ownership supports domestic production incentives (IRA); leasing allows geographic/market-responsive reallocation"
STRUCTURAL DECISIONS - Capacity,,"Total capacity sufficient for 2024-2025 volumes; capacity utilization as operational priority; strategic expansions for EV (BlueOval SK)","Utilization optimization critical to fixed cost absorption; underutilization creates cost pressures (EV ramp slower than planned)"
Capacity: Amount,"Managed to support 4-5M annual unit volumes (Blue + Model e + Pro combined); excess capacity from ICE production shift","Balance between capacity for peak demand and cost minimization; Ford Model e volumes lower than projected, creating blue excess capacity","Excess ICE capacity creates cost burden (fixed overhead absorption); EV capacity coming online as demand ramps"
Capacity: Timing,"New EV battery capacity coming online (BlueOval SK plants in TN/KY); UAW labor agreements impact shift flexibility","Capacity additions aligned with Ford+ EV transition timeline; multi-year lead times for complex manufacturing","Timing risk: if EV adoption slower than projected, battery capacity underutilized; if faster, shortage risk"
STRUCTURAL DECISIONS - Vertical Integration,"Strategic integration in batteries (BlueOval SK), engines, transmissions, metal stamping; outsourced semiconductors/chips; strategic software development","Own engine/transmission plants; 50/50 battery JV; outsource most components; proprietary software for connected vehicles","Batteries: vertically integrated for control/cost/tech; critical for EV competitiveness; Semiconductors: outsourced due to capital/expertise; Software: in-house for competitive advantage"
Vertical Integration: Batteries,"BlueOval SK JV (50/50 with SK On); Tennessee and Kentucky plants; multi-year raw material offtake agreements","In-house battery production reduces cost exposure and improves IRA compliance; JV shares risk with experienced partner (SK On)","Massive capital investment; reduces margin pressure from high battery costs; enables control of EV economics"
Vertical Integration: Raw Materials,"Multi-year offtake agreements with lithium, cobalt, nickel suppliers; strategic equity stakes in supplier companies","Lock in supply and manage price volatility; direct supplier relationships reduce intermediation costs","Reduces supply chain risk; absorbs commodity price volatility (downside: sunk costs if EVs don't scale)"
Vertical Integration: Software,"In-house development for Ford+ digital platform, OTA updates, subscription services, Ford Pro software suite","Differentiates Ford Pro (software/services revenue); enables autonomous vehicle development pathway; built on third-party platforms (AWS, etc.)","Software as competitive advantage; proprietary services support Ford Pro premium pricing; technology talent critical"
STRUCTURAL DECISIONS - Production Technology,,"Mix of traditional ICE manufacturing with new EV production lines; flexible manufacturing systems; IoT and data analytics integration","Platform-specific tooling (F-150/Transit legacy; F-150 Lightning new); separate ICE/EV lines reduce product conflicts","Legacy ICE plants require less transformation; new EV plants built with modern technology; costs high due to parallel production"
Technology: Flexible Manufacturing,"Ford + platform flexibility (modular design for different drivetrains); shift flexibility (overtime, line-speed adjustments)","Ford Blue: optimized for ICE F-150; Ford Pro: optimized for commercial; Model e: separate EV platform","Flexibility allows volume/mix adjustments; reduces inventory risk; supports business unit scaling"
Technology: Automation,"High automation in stamping, welding, assembly; increasing robotics and AI for quality control and predictive maintenance","Industry standard levels; automation higher in newer EV plants than legacy ICE plants","Cost control through automation; labor cost management; quality improvement through consistency"
